"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1974 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1975 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1976 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1977 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1978 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1979 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1980 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1981 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1982 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1983 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1984 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1985 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1986 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1987 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1988 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1989 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1990 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1991 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1992 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1993 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1994 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1995 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1996 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1997 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1998 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1999 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2000 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2001 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2002 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2003 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2004 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2005 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2006 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2007 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2008 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2009 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2010 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2011 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2012 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2013 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2014 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2015 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2016 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2017 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2018 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2019 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2020 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2021 (R$ mil)"
"Santana da Boa Vista","4317004","-30.869700000000","-53.109999999990","2.448","1.770","3.178","4.374","12.821","5.709","34.560","46.800","180.000","360.403","980.520","3.455","4.212","12.438","80.570","712","35.583","192.669","1.702.970","45.454","222","387","549","557","514","514","459","1.040","992","1.863","1.715","1.157","663","683","938","878","1.041","1.009","2.067","2.603","2.699","6.636","1.947","1.770","1.317","1.423","2.979","2.820"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","5.051","12.891","17.907","10.530","17.820","49.062","91.800","306.054","655.500","2.162.120","10.947.030","38.340","43.717","195.750","1.014.486","9.608","165.000","3.872.000","27.729.945","867.889","8.191","10.344","10.131","9.937","8.778","21.618","13.859","20.180","23.891","29.421","42.515","29.179","28.208","20.960","39.122","38.318","33.508","32.545","32.648","41.332","44.822","52.599","52.384","67.033","46.962","46.707","71.056","115.297"
"Santiago","4317400","-29.189699999990","-54.866599999990","92","1.260","1.620","1.530","2.700","3.780","11.363","10.998","68.400","209.295","474.000","1.658","3.830","9.254","78.172","580","32.175","40.272","1.895.771","48.091","407","560","350","181","264","190","125","153","195","19","114","112","105","29","145","168","213","-","-","-","-","-","-","-","-","-","-","-"
"Santo �ngelo","4317509","-28.300100000000","-54.266800000000","472","1.045","1.344","1.915","1.463","1.917","9.195","18.564","26.106","28.404","94.461","509","1.269","4.152","9.660","141","3.359","11.080","383.595","7.487","58","54","11","68","102","28","30","50","89","86","65","21","78","32","37","49","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Ant�nio da Patrulha","4317608","-29.826799999990","-50.517499999990","19.350","37.606","47.566","55.640","71.487","99.016","336.756","749.394","1.380.390","3.341.443","14.697.856","56.686","127.881","283.746","2.350.627","25.204","502.112","3.760.665","34.852.234","1.444.262","8.881","8.495","13.264","15.123","19.550","17.883","14.277","17.182","25.267","46.095","43.570","38.669","33.176","33.944","53.170","50.305","49.658","45.427","59.655","72.695","71.554","76.463","89.460","81.056","70.470","77.267","83.808","166.590"
"Santo Ant�nio das Miss�es","4317707","-28.513999999990","-55.225099999990","2.942","4.467","7.729","4.860","11.500","34.454","91.690","172.770","372.798","958.537","2.877.780","9.767","25.798","94.658","449.977","8.723","189.016","1.496.354","15.738.104","599.519","3.704","5.179","4.231","4.556","5.075","6.707","6.286","6.393","8.138","9.993","14.777","10.968","7.392","8.305","14.524","21.159","25.796","16.535","17.498","17.694","23.111","22.452","23.342","30.525","16.332","17.940","23.064","35.797"
"Santo Ant�nio do Palma","4317558","-28.495600000000","-52.026699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.314","15","16","7","7","9","3","3","4","7","11","7","2","6","6","9","9","4","4","1","4","5","6","6","6","8","8","8","-"
"Santo Ant�nio do Planalto","4317756","-28.403099999990","-52.699199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.495","6","13","5","6","7","9","7","8","6","8","6","2","5","5","6","4","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","258","486","486","500","-","2.142","3.800","6.234","20.175","57.158","55.705","375","1.092","2.400","11.952","181","8.882","23.185","506.094","11.691","58","39","91","62","93","67","75","85","73","117","133","75","75","137","192","171","179","149","12","-","58","42","-","-","-","-","-","-"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","84","412","432","320","300","201","524","1.326","1.435","1.400","23.777","17","31","273","3.734","23","149","930","9.516","216","2","2","4","3","3","3","3","4","5","8","1","-","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Expedito do Sul","4317954","-27.907399999990","-51.643300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.040","11","15","17","15","11","13","13","2","2","6","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Borja","4318002","-28.657800000000","-56.003599999990","53.184","102.269","119.607","96.682","323.000","403.413","1.152.000","2.006.664","4.953.600","9.817.119","41.580.000","154.710","314.874","835.380","5.337.500","61.248","3.122.350","15.705.000","158.738.008","3.260.000","22.310","39.690","36.460","30.795","37.291","56.491","45.639","63.739","81.803","108.249","150.078","108.933","123.184","106.566","166.289","215.972","190.829","185.251","180.433","245.940","261.762","252.796","230.072","289.344","268.246","242.636","306.864","496.981"
"S�o Domingos do Sul","4318051","-28.531199999990","-51.886000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","433","0","16.636","347","3","4","3","3","3","3","1","2","3","4","4","-","1","1","2","2","2","2","-","-","-","-","-","-","-","-","-","-"
"S�o Francisco de Assis","4318101","-29.554700000000","-55.125300000000","4.767","12.203","13.562","22.470","26.100","42.090","105.000","178.500","838.800","968.016","3.686.400","15.679","57.926","120.110","803.463","13.536","357.838","2.464.499","25.644.419","281.680","2.254","3.369","3.433","3.611","5.532","6.167","4.578","8.016","8.605","9.443","12.464","7.480","11.531","9.562","13.851","14.741","8.543","14.564","13.326","13.644","17.462","18.120","10.594","24.566","15.289","15.436","23.156","43.420"
"S�o Francisco de Paula","4318200","-29.440400000000","-50.582799999990","24","145","388","342","439","702","1.459","2.200","5.670","5.547","18.660","57","123","127","377","8","315","1.080","10.395","180","7","6","3","2","2","2","2","2","2","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Gabriel","4318309","-30.333700000000","-54.321700000000","57.540","114.327","121.773","156.240","310.265","358.854","693.000","2.074.800","4.215.200","5.893.812","30.492.000","104.124","165.068","473.222","4.476.168","110.411","1.271.986","9.786.639","106.769.634","2.450.274","19.910","30.551","36.185","31.246","11.550","57.452","39.655","43.193","64.981","71.376","96.355","67.320","79.308","73.913","134.215","112.467","105.329","88.017","98.472","123.184","136.416","152.314","157.287","190.644","164.430","147.074","234.915","370.250"
"S�o Jer�nimo","4318408","-29.971599999990","-51.725099999990","5.904","7.518","9.095","9.536","11.571","11.620","33.264","77.700","224.000","423.285","1.036.000","3.317","9.500","12.671","107.750","2.307","58.172","568.500","2.418.912","52.693","1.139","878","1.091","1.188","1.987","2.096","2.115","1.155","2.449","3.704","4.320","2.888","3.520","4.776","7.216","7.729","4.838","3.813","4.024","4.976","4.904","5.949","10.909","13.837","9.139","11.601","6.752","18.240"
"S�o Jo�o da Urtiga","4318424","-27.819500000000","-51.825699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","29","943","76","51.000","1.673","16","22","11","12","13","15","8","8","8","9","5","-","3","2","2","3","2","3","-","-","-","-","-","-","-","-","-","-"
"S�o Jo�o do Pol�sine","4318432","-29.619399999990","-53.443899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","83.681","1.718","1.680","2.234","2.301","3.151","3.485","2.907","2.868","4.774","7.677","7.494","2.124","5.045","5.244","8.232","8.510","6.360","7.194","7.344","10.835","11.230","11.203","10.546","13.036","11.094","13.526","17.443","23.420"
"S�o Jorge","4318440","-28.498400000000","-51.706400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","778","1.920","45.760","1.189","15","16","2","5","4","5","6","5","2","7","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� das Miss�es","4318457","-27.778900000000","-53.122599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.291","45","44","10","37","76","80","84","78","84","120","180","98","130","127","120","120","4","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Herval","4318465","-29.052000000000","-52.295000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","1.161","1.050","71.765","477","16","22","5","3","7","6","7","9","7","8","6","-","2","3","7","2","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Hort�ncio","4318481","-29.527999999990","-51.245000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","701","3.527","37.645","106","1","1","1","3","3","3","2","2","1","3","3","-","2","2","4","4","3","3","3","4","4","4","4","4","4","6","6","16"
"S�o Jos� do Inhacor�","4318499","-27.725100000000","-54.127499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.600","15","14","1","10","7","7","6","8","11","17","3","-","0","0","0","1","0","1","1","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Norte","4318507","-32.015099999990","-52.033099999990","4.074","10.639","9.292","6.350","7.024","13.415","32.868","153.426","374.400","760.578","3.500.000","14.220","34.361","103.200","710.108","6.001","215.465","1.666.560","7.719.760","358.200","2.770","2.668","4.219","1.791","1.751","2.456","1.270","2.782","3.674","6.238","6.342","4.431","4.131","6.622","10.626","7.601","7.580","5.343","7.789","10.278","9.792","9.792","9.792","10.282","10.157","7.935","10.288","18.160"
"S�o Jos� do Ouro","4318606","-27.770700000000","-51.596600000000","144","440","900","824","506","116","3.419","2.592","4.459","31.298","95.400","335","297","1.137","14.508","85","4.422","3.778","247.414","2.535","25","35","18","44","44","45","45","7","8","3","3","1","3","2","6","5","2","1","2","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Sul","4318614","-29.529000000000","-51.487099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� dos Ausentes","4318622","-28.747599999990","-50.067700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Leopoldo","4318705","-29.754500000000","-51.149799999990","10","1","27","-","-","-","-","-","-","-","2.160","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Louren�o do Sul","4318804","-31.356400000000","-51.971499999990","25.855","46.693","52.936","82.176","164.826","126.880","330.310","575.316","1.414.319","2.688.714","7.843.500","31.706","104.693","169.044","1.485.059","17.921","280.629","3.857.087","33.586.955","784.295","6.556","8.779","11.032","11.074","10.786","15.165","13.079","11.194","13.625","20.555","30.587","17.925","15.760","24.460","36.317","37.528","30.015","28.478","38.119","44.062","46.898","51.252","51.264","63.759","59.049","56.239","58.621","135.002"
"S�o Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","516","1.269","1.707","5.984","8.250","10.353","47.400","28.169","174.960","463.947","1.250.250","3.622","3.760","27.948","150.052","2.552","51.012","592.780","4.754.068","163.721","894","1.077","850","968","912","1.271","1.156","1.343","1.927","1.017","1.584","429","831","881","1.002","1.308","729","992","825","778","528","480","180","219","-","-","-","-"
"S�o Marcos","4319000","-28.967700000000","-51.069600000000","67","324","259","288","547","1.116","1.620","750","210","464","4.914","42","23","54","470","3","168","422","3.465","80","1","1","-","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Martinho","4319109","-27.711200000000","-53.969900000000","720","1.224","1.296","1.284","1.166","35","2.214","2.430","1.435","3.163","15.750","36","48","249","725","13","212","716","29.260","638","11","14","9","18","20","20","21","39","24","33","32","25","20","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Martinho da Serra","4319125","-29.539700000000","-53.859000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8.968","189","194","145","309","375","415","332","465","499","953","292","431","514","441","556","596","477","364","259","222","228","256","249","328","249","269","437","720"
"S�o Miguel das Miss�es","4319158","-28.556000000000","-54.555900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","106","2.939","13.296","628.845","24.958","172","153","182","240","360","306","411","540","285","336","209","173","179","164","193","57","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Nicolau","4319208","-28.183399999990","-55.265400000000","1.539","1.674","1.966","4.280","5.900","12.600","45.340","40.400","108.405","296.819","889.810","2.988","2.430","6.267","31.152","339","3.597","47.962","539.000","5.099","235","240","231","279","343","481","492","633","626","361","263","47","81","419","552","406","75","63","-","410","416","-","-","-","-","-","-","-"
"S�o Paulo das Miss�es","4319307","-28.019500000000","-54.940399999990","40","120","142","203","153","147","1.440","750","528","3.267","11.160","44","-","221","575","20","200","0","11.550","220","9","9","2","3","4","5","3","2","2","8","2","2","7","11","8","4","3","-","-","-","-","-","-","-","-","2","-","-"
"S�o Pedro da Serra","4319356","-29.419300000000","-51.513399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","587","4","6","3","4","6","5","4","3","4","5","4","2","3","4","4","6","3","3","3","1","1","1","-","-","-","-","-","-"
"S�o Pedro das Miss�es","4319364","-27.773219999990","-53.250470000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4","4","5","8","4","4","4","4","4","4","5","5","3","-","-","-","-","-","-","-","-"
"S�o Pedro do Buti�","4319372","-28.124300000000","-54.892600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","209","8","7","1","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Pedro do Sul","4319406","-29.620200000000","-54.185499999990","8.446","14.320","15.382","32.032","38.610","36.372","93.600","248.130","633.500","1.507.587","2.790.000","11.316","19.500","68.669","648.440","8.900","264.650","2.014.750","9.324.990","155.895","2.838","2.919","4.030","4.088","4.586","4.702","4.084","5.115","8.480","11.737","14.251","7.740","8.918","9.916","14.043","14.920","10.244","11.598","13.578","18.166","19.911","18.730","18.155","21.179","19.846","18.493","35.885","50.810"
"S�o Sebasti�o do Ca�","4319505","-29.588500000000","-51.374899999990","1.275","449","712","630","1.050","2.925","12.518","17.972","42.135","123.460","329.805","1.334","3.219","3.490","82.320","7","269","1.610","15.806","241","2","2","0","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Sep�","4319604","-30.164300000000","-53.560299999990","38.305","74.104","73.968","73.872","167.670","180.109","385.560","846.594","2.297.490","4.308.589","23.460.000","75.668","81.284","364.640","3.018.880","86.504","897.422","7.438.904","41.304.614","811.800","15.142","23.245","16.488","16.233","13.808","24.875","21.047","32.062","41.606","57.589","76.238","34.225","43.586","50.964","71.614","75.260","55.068","60.829","68.823","80.588","85.379","91.564","80.809","102.491","86.390","98.380","129.869","224.000"
"S�o Valentim","4319703","-27.558299999990","-52.523699999990","385","1.497","1.980","2.404","432","-","5.198","8.738","11.711","40.753","99.803","245","477","1.072","7.053","38","1.618","2.220","105.782","2.955","24","39","28","29","4","4","4","5","2","8","3","-","5","9","5","6","6","4","1","2","-","-","-","-","-","-","-","-"
"S�o Valentim do Sul","4319711","-29.045100000000","-51.768400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","548","4","8","5","6","9","13","15","7","4","5","5","1","5","3","3","3","7","2","2","1","2","2","2","2","2","2","-","-"
"S�o Val�rio do Sul","4319737","-27.790600000000","-53.936799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","974","5","3","11","2","3","1","1","1","4","6","6","3","1","2","13","3","1","-","-","-","-","-","-","-","-","-","-","-"
"S�o Vendelino","4319752","-29.372900000000","-51.367500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","0","128","0","6.760","124","2","2","2","4","5","4","4","2","2","5","3","2","1","2","2","4","6","6","6","5","6","6","-","-","-","-","-","-"
"S�o Vicente do Sul","4319802","-29.688199999990","-54.682600000000","10.812","20.843","27.806","19.074","65.313","75.707","193.920","415.800","1.349.460","3.027.375","9.478.625","23.879","77.355","156.925","781.941","17.243","511.665","4.137.683","35.974.500","1.098.505","8.244","8.999","11.120","11.096","13.735","15.323","11.739","16.147","22.011","27.332","29.702","18.178","12.210","25.612","30.902","32.787","24.773","31.920","35.285","42.905","46.532","54.093","45.542","57.130","60.056","55.047","80.631","138.030"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","345","216","216","514","960","699","1.620","3.636","5.892","19.144","33.955","76","117","112","-","59","946","4.107","50.434","954","11","15","2","12","8","8","3","3","4","7","20","554","164","182","215","322","288","239","377","407","443","14","381","383","546","592","770","1.034"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","-","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sarandi","4320107","-27.942000000000","-52.923099999990","382","546","855","946","490","107","2.310","4.320","2.173","27.111","57.300","144","607","726","5.339","142","3.653","-","389.970","1.853","19","23","20","21","21","31","11","11","13","17","10","2","5","5","6","4","3","-","-","-","-","-","-","-","-","-","-","-"
"Seberi","4320206","-27.482900000000","-53.402600000000","5","600","900","3.681","-","-","1.152","7.062","9.200","50.160","52.800","429","699","1.824","6.504","391","18.937","39.550","855.289","10.994","183","235","190","274","240","363","548","439","427","1.403","695","715","712","698","566","703","364","527","204","47","10","9","11","12","11","12","13","26"
"Sede Nova","4320230","-27.636700000000","-53.949300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","212","6.936","73.150","938","15","20","9","19","1","1","1","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Segredo","4320263","-29.352300000000","-52.976700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","253","8.125","2.324","320.250","9.864","81","92","19","131","137","130","118","184","234","343","221","-","126","142","11","9","10","3","4","4","6","5","6","6","6","8","-","13"
"Selbach","4320305","-28.629400000000","-52.949800000000","48","340","420","642","980","202","757","2.033","2.460","12.760","86.100","255","1.010","2.013","6.064","120","4.312","15.402","270.704","3.443","13","25","4","16","25","59","57","33","25","41","4","3","3","3","1","-","1","1","-","-","-","-","-","-","-","-","-","-"
"Senador Salgado Filho","4320321","-28.025000000000","-54.550699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","39","43","43","36","48","65","101","5","-","-","5","6","5","2","5","5","-","-","-","-","-","-","-","-","-"
"Sentinela do Sul","4320354","-30.610700000000","-51.586199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","51.464","1.379","1.681","1.622","1.790","1.820","2.590","2.322","2.390","3.958","6.593","6.723","3.637","4.673","5.576","8.385","9.503","8.367","6.985","9.956","9.556","8.750","9.854","11.024","12.963","10.843","15.809","19.732","33.081"
"Serafina Corr�a","4320404","-28.712599999990","-51.935299999990","180","252","771","353","516","1.061","552","1.960","2.686","6.366","34.400","159","246","786","1.377","34","1.779","0","78.540","895","4","11","2","5","3","-","-","-","0","1","1","-","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�rio","4320453","-29.390400000000","-52.268500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","297","11","15","14","10","11","18","17","17","20","51","20","-","9","9","9","11","4","5","4","5","6","6","6","6","7","-","-","-"
"Sert�o","4320503","-27.979800000000","-52.258800000000","258","497","1.732","824","600","-","7.154","10.622","20.440","46.754","132.000","358","360","486","4.835","239","7.800","2.209","250.250","12.061","48","52","14","29","49","20","23","16","26","27","25","4","11","11","18","19","5","-","-","-","-","-","-","-","-","-","-","-"
"Sert�o Santana","4320552","-30.456199999990","-51.601700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","78.470","873","876","883","959","1.051","1.279","1.147","1.207","1.871","3.299","2.919","2.345","2.005","736","4.393","4.743","3.926","3.556","5.686","5.978","6.414","7.134","5.574","8.152","7.161","8.007","10.823","16.288"
"Sete de Setembro","4320578","-28.136199999990","-54.463700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7","46","31","30","27","28","6","2","2","4","4","4","5","4","5","-","-","-","-","-","-","-","-","-","-"
"Severiano de Almeida","4320602","-27.436199999990","-52.121699999990","69","176","285","504","48","52","1.388","1.051","1.350","9.648","21.976","118","290","266","2.220","26","1.156","0","70.522","1.970","16","26","11","11","32","15","18","24","10","16","5","2","11","9","6","4","1","2","-","-","-","-","-","-","-","-","-","-"
"Silveira Martins","4320651","-29.646699999990","-53.591000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","185","489","20.252","328","8","8","7","3","4","2","1","3","4","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10.388","79","81","79","70","65","56","51","21","15","20","14","3","10","10","8","8","10","10","10","38","15","8","9","14","10","13","17","28"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","481","640","712","1.296","1.700","2.508","14.000","21.528","29.494","58.800","240.960","1.686","1.221","4.464","4.923","303","9.750","-","384.300","12.672","121","108","25","12","7","6","7","4","6","16","2","-","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Soledade","4320800","-28.830600000000","-52.513100000000","89","500","1.261","2.549","570","1.200","5.400","7.740","9.840","36.000","193.600","830","305","818","2.660","40","1.964","0","260.388","3.986","44","48","48","10","48","99","49","78","106","194","143","10","33","25","30","19","20","8","-","-","-","-","-","-","-","-","-","-"
"Taba�","4320859","-29.643000000000","-51.682299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tapejara","4320909","-28.065200000000","-52.009700000000","214","401","990","475","324","-","4.144","4.396","10.560","20.790","53.900","927","1.718","3.163","19.668","50","1.800","304","124.020","2.385","18","24","19","10","4","5","5","5","3","3","3","-","3","4","2","3","2","3","3","3","2","-","-","-","-","-","-","-"
"Tapera","4321006","-28.627700000000","-52.861199999990","55","124","160","428","350","288","1.019","1.332","1.804","2.640","18.750","44","157","545","154","20","445","57","73.352","472","5","9","1","2","9","4","3","4","9","26","21","3","4","7","8","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tapes","4321105","-30.668299999990","-51.399099999990","29.168","54.807","58.914","85.100","169.479","167.880","413.600","992.477","2.070.922","4.616.892","17.733.100","60.045","132.288","291.035","2.202.623","21.445","549.094","5.341.694","42.436.572","919.200","10.384","11.645","14.355","13.447","16.058","19.126","17.804","20.273","26.672","44.431","47.934","26.387","24.673","33.038","52.851","56.424","63.117","50.857","63.291","68.763","77.713","86.753","84.447","109.195","74.887","100.993","141.963","278.236"
"Taquara","4321204","-29.650500000000","-50.775300000000","2.592","873","655","2.311","3.744","1.981","4.776","6.400","8.436","44.832","331.005","2.580","7.513","8.733","46.000","389","29.411","193.681","1.776.138","38.196","446","746","109","766","138","226","227","371","492","1.892","5.475","4.307","1.489","1.649","2.854","2.992","3.064","2.299","3.228","4.721","5.512","4.577","5.849","5.120","5.103","4.578","4.275","8.277"
"Taquari","4321303","-29.794300000000","-51.865299999990","2.798","4.154","5.806","10.696","6.724","4.835","14.520","30.324","77.520","262.692","987.072","4.679","5.702","18.420","86.592","1.460","32.112","273.488","1.661.520","33.726","423","535","547","806","1.080","144","1.632","1.680","3.038","5.292","6.400","4.004","5.825","7.207","11.438","14.167","12.096","7.300","12.050","14.473","13.804","15.293","17.139","9.850","17.085","18.535","19.078","46.147"
