"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1974 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1975 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1976 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1977 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1978 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1979 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1980 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1981 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1982 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1983 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1984 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1985 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1986 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1987 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1988 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1989 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1990 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1991 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1992 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1993 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1994 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1995 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1996 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1997 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1998 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1999 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2000 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2001 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2002 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2003 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2004 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2005 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2006 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2007 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2008 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2009 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2010 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2011 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2012 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2013 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2014 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2015 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2016 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2017 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2018 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2019 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2020 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2021 (kg/ha)"
"Giru�","4309001","-28.029699999990","-54.351700000000","900","2.000","1.505","2.000","1.502","500","1.500","1.563","740","1.500","1.510","1.514","1.214","1.667","433","1.933","2.044","3.000","4.500","4.571","3.620","4.250","3.000","4.300","4.167","3.904","2.971","3.818","4.709","3.356","3.356","2.550","3.700","3.700","4.000","3.600","3.600","3.600","2.500","-","-","-","-","-","-","-","-","-"
"Glorinha","4309050","-29.879799999990","-50.773400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.000","4.500","6.000","5.800","5.200","4.000","5.000","5.150","5.150","5.150","5.150","5.150","3.650","5.000","5.300","6.112","5.320","5.600","5.600","6.800","6.800","5.600","6.840","7.958","10.000","7.800","7.100","7.100","7.100","7.490","7.230","7.230","7.200"
"Gramado","4309100","-29.373300000000","-50.876199999990","1.600","1.500","1.615","1.500","1.500","1.200","1.200","1.197","904","900","900","900","604","594","300","447","600","400","957","1.100","1.100","1.100","800","667","667","700","700","833","833","833","750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gramado dos Loureiros","4309126","-27.442900000000","-52.914900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","763","763","2.000","1.000","1.000","1.000","600","1.500","500","-","1.600","2.000","2.000","1.500","1.500","1.500","1.000","1.500","1.500","-","-","-","-","-","-","-"
"Gramado Xavier","4309159","-29.270600000000","-52.579500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.000","1.000","1.200","1.231","1.231","1.231","1.231","1.200","1.200","1.200","1.200","800","800","1.000","1.000","1.000","1.000","1.000","2.200","2.200","2.200","2.200","2.200","2.600","2.600","2.600","2.600","1.800","2.600"
"Gravata�","4309209","-29.941299999990","-50.986899999990","4.200","3.087","3.254","4.000","4.000","2.720","4.000","3.520","3.650","4.900","4.705","5.000","4.650","5.000","4.000","5.000","4.500","6.000","5.800","5.000","4.000","4.000","4.501","5.800","5.170","5.169","5.170","5.170","5.171","5.171","5.171","4.500","4.500","6.564","6.600","6.600","6.641","6.600","7.000","7.000","7.000","7.000","7.000","7.000","7.000","7.000","7.000","7.000"
"Guabiju","4309258","-28.542100000000","-51.694800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","286","1.514","1.514","1.500","1.591","1.182","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gua�ba","4309308","-30.108599999990","-51.323300000000","2.772","3.360","3.119","3.800","3.732","2.339","4.000","3.493","4.800","4.025","4.850","4.800","4.700","4.500","4.872","5.000","4.794","4.996","5.000","4.059","5.000","5.100","5.100","4.400","4.800","5.492","5.000","4.796","5.147","4.976","5.995","6.095","5.900","6.449","6.745","7.069","6.762","7.065","7.243","7.090","7.100","6.914","7.169","7.637","7.415","7.508","7.650","7.886"
"Guapor�","4309407","-28.839900000000","-51.889499999990","959","1.828","1.540","1.047","600","440","1.000","741","351","1.500","2.252","2.400","200","1.760","1.230","1.573","1.573","164","1.800","1.802","1.802","1.802","1.200","1.400","1.400","1.400","1.400","1.400","1.400","1.400","1.000","700","1.400","1.300","1.300","2.333","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","-","-"
"Guarani das Miss�es","4309506","-28.149100000000","-54.562899999990","1.250","1.905","1.900","1.771","1.800","1.020","2.958","1.798","1.080","1.500","1.800","1.500","900","2.122","790","2.571","1.800","1.074","2.514","2.263","1.800","2.474","2.500","4.200","4.200","2.750","1.500","1.500","2.000","2.000","2.000","-","2.000","2.000","2.000","2.000","-","-","-","-","-","5.000","-","-","-","-","-","-"
"Harmonia","4309555","-29.545600000000","-51.418500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.667","2.429","2.343","3.000","3.000","3.000","2.760","1.500","1.500","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-"
"Herval","4307104","-32.024000000000","-53.394399999990","3.600","4.000","3.000","4.130","4.130","3.607","3.500","4.246","5.000","5.000","5.000","5.000","5.000","5.000","5.000","5.000","5.000","5.000","5.000","5.000","3.500","5.750","5.500","4.000","4.500","5.709","4.972","5.725","4.800","6.000","6.000","4.500","2.250","6.000","6.000","6.995","7.000","7.720","7.000","7.100","6.400","8.651","7.317","8.000","7.200","8.000","-","8.960"
"Herveiras","4309571","-29.455200000000","-52.655299999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.500","1.533","1.533","1.533","3.000","1.500","2.000","2.500","2.500","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Horizontina","4309605","-27.628200000000","-54.305300000000","1.200","2.000","2.400","2.000","1.000","600","600","692","975","700","1.150","1.150","5.304","4.940","1.700","1.207","1.724","2.077","3.545","3.667","3.667","3.667","3.000","2.640","2.640","2.640","2.640","2.640","2.640","2.640","1.875","-","1.333","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Hulha Negra","4309654","-31.406700000000","-53.866700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.700","4.000","5.000","4.517","5.100","5.100","5.100","5.500","5.500","4.960","4.960","5.809","5.831","5.450","5.762","5.830","7.186","7.186","7.902","7.756","7.250","7.250","7.500","6.000","8.318","8.621","6.901","6.672","7.611"
"Humait�","4309704","-27.569099999990","-53.969499999990","900","1.800","1.800","1.800","810","100","2.400","1.800","538","900","1.700","1.300","900","600","1.620","2.658","2.658","1.769","3.920","3.400","3.400","3.400","2.000","3.350","3.350","3.350","3.350","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ibarama","4309753","-29.420300000000","-53.129500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.037","5.000","2.807","2.617","2.825","3.000","3.545","3.429","2.714","4.143","2.000","2.400","2.400","2.400","667","-","1.500","2.333","2.333","2.333","2.333","2.333","1.000","3.200","3.200","3.200","2.875","2.900","3.125","3.000","-","2.000"
"Ibia��","4309803","-28.056600000000","-51.859900000000","1.500","1.752","3.000","3.000","3.000","-","2.000","710","498","700","700","1.500","900","704","748","1.200","1.000","-","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.600","-","1.600","1.600","1.600","1.600","1.600","1.600","1.500","1.500","1.500","-","-","-","-","-","-","-"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","900","2.200","2.000","2.000","500","144","1.196","1.104","1.102","1.600","1.500","1.600","1.200","1.000","1.650","1.800","1.800","179","2.000","2.000","2.000","2.000","1.409","1.400","1.400","1.400","1.400","1.400","1.400","1.400","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ibirapuit�","4309951","-28.624700000000","-52.515799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","-","1.808","1.861","1.692","3.038","1.200","700","1.500","1.500","2.100","2.091","1.045","1.795","1.795","-","2.000","2.000","2.000","1.800","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Ibirub�","4310009","-28.630199999990","-53.096100000000","1.200","3.600","3.000","3.600","3.600","2.800","3.600","1.463","833","1.731","2.033","1.867","1.933","2.624","2.103","2.548","2.481","4.000","3.038","3.038","2.836","2.836","2.100","3.000","2.400","2.743","2.514","2.914","3.156","3.156","2.929","5.000","5.000","5.000","3.625","3.625","3.625","3.600","5.000","6.000","6.000","6.000","6.000","6.000","6.000","-","-","-"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","3.600","2.500","1.600","3.600","3.632","3.579","2.000","1.508","852","833","840","914","625","2.759","2.450","1.300","1.300","1.000","1.000","1.000","1.000","1.000","1.353","1.000","1.300","1.300","1.300","1.300","1.300","1.300","1.300","250","1.333","1.333","1.333","1.333","1.400","1.333","1.333","1.333","1.000","1.000","-","-","-","-","-","2.000"
"Iju�","4310207","-28.388100000000","-53.920000000000","1.500","2.500","3.000","1.200","1.000","1.500","2.500","1.559","940","1.773","1.664","1.769","2.194","2.237","1.007","2.211","2.333","1.000","2.222","2.244","2.476","2.000","1.800","2.182","2.527","2.527","1.264","1.800","1.800","2.400","1.800","200","2.500","2.500","2.500","1.500","2.500","3.000","600","3.000","3.000","3.000","-","-","-","-","-","-"
"Il�polis","4310306","-28.928200000000","-52.125799999990","1.500","1.275","1.408","1.024","703","418","1.000","765","396","667","683","683","683","600","720","2.000","2.000","200","2.200","2.000","2.000","2.200","917","900","1.500","1.500","1.500","1.500","1.667","1.667","1.000","750","1.333","1.333","1.333","1.333","1.333","1.333","1.333","1.333","1.000","1.000","1.333","1.500","1.500","1.500","1.000","1.500"
"Imb�","4310330","-29.975300000000","-50.128100000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.902","5.000","5.000","4.800","4.800","4.800","4.800","4.800","4.800","4.225","4.225","4.225","3.800","4.200","4.200","4.200","5.000","5.000","5.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Imigrante","4310363","-29.350800000000","-51.774700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.400","2.200","2.200","2.200","1.500","1.500","1.500","2.250","1.500","1.500","1.500","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Independ�ncia","4310405","-27.835400000000","-54.188600000000","1.200","2.400","2.400","2.000","1.000","600","600","604","514","600","600","600","636","3.000","3.383","3.467","3.533","3.167","3.600","3.600","3.600","3.046","2.031","3.046","3.046","3.046","3.046","3.046","3.046","3.046","3.046","1.075","3.600","3.600","2.000","-","-","4.000","4.000","4.000","4.000","4.000","4.000","4.000","4.000","4.000","-","-"
"Inhacor�","4310413","-27.875200000000","-54.015000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.944","1.200","1.500","3.167","1.333","2.167","2.000","2.000","2.000","1.500","1.000","1.500","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ip�","4310439","-28.817100000000","-51.285899999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","600","1.800","1.800","1.800","1.800","1.417","1.000","1.000","1.200","1.200","1.200","1.200","1.200","1.200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.636","1.636","3.000","1.636","1.636","1.636","1.636","1.636","1.636","1.636","1.600","1.600","1.600","1.600","1.600","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ira�","4310504","-27.195100000000","-53.254300000000","1.200","1.398","1.900","900","300","150","1.000","1.000","600","850","1.254","1.304","1.000","662","719","1.300","1.300","-","1.500","1.800","1.800","1.800","1.432","900","900","900","900","900","900","900","900","900","900","900","900","1.800","1.600","1.067","1.200","1.200","1.200","2.000","2.000","2.000","1.333","1.667","1.667","1.667"
"Itaara","4310538","-29.601299999990","-53.772500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itacurubi","4310553","-28.791300000000","-55.244700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.968","4.915","4.889","4.957","5.081","3.054","4.490","4.600","4.500","4.500","5.000","3.800","5.250","4.900","3.800","6.818","6.830","6.500","6.950","6.950","7.600","7.000","8.320","7.500","7.500","8.100","8.000","7.550","8.100","8.100","8.600","8.501","8.600"
"Itapuca","4310579","-28.776800000000","-52.169300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.204","1.204","1.500","1.000","1.000","1.200","1.000","900","900","1.000","1.000","1.333","-","1.000","1.333","1.333","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itaqui","4310603","-29.131000000000","-56.551499999990","4.091","4.379","4.181","4.500","4.214","4.254","3.750","4.000","4.000","3.823","4.600","4.500","3.600","4.390","5.700","5.000","5.100","5.000","5.600","5.200","4.500","5.000","5.200","5.200","4.240","6.200","5.750","5.588","6.568","4.747","6.593","6.900","7.389","6.950","7.500","7.600","6.760","8.280","7.800","7.442","7.380","7.300","6.492","7.500","7.950","6.915","8.300","9.182"
"Itati","4310652","-29.488320000000","-50.113579999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.200","1.200","1.200","1.200","1.200","1.300","1.200","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","1.100","2.300","2.400","2.300","700","-","2.000","855","600","1.091","1.000","900","600","400","1.000","1.500","1.500","-","1.520","1.480","1.480","2.000","1.800","1.400","3.000","3.000","3.000","3.000","1.000","3.000","1.545","-","2.400","2.400","1.600","500","1.500","2.500","-","-","-","-","-","-","-","-","-","-"
"Ivor�","4310751","-29.523199999990","-53.584200000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","500","1.000","1.800","1.800","3.409","4.476","3.927","5.273","5.455","5.675","4.743","6.000","4.800","5.514","6.514","5.514","6.000","7.000","7.000","7.000","7.000","7.500","7.500","6.500","10.000","8.000","8.000","7.660","7.660","7.760","9.000"
"Ivoti","4310801","-29.599499999990","-51.153300000000","1.000","1.000","1.529","1.496","1.200","750","1.360","1.299","823","1.077","1.231","1.385","1.308","1.818","1.800","2.000","2.000","909","1.500","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jaboticaba","4310850","-27.634699999990","-53.276200000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.000","2.000","200","2.442","2.442","2.525","2.525","2.500","3.000","3.400","2.700","2.700","2.700","2.700","2.700","2.700","2.400","2.400","2.400","2.400","2.400","3.000","3.000","300","1.000","-","-","-","-","-","-","-","-"
"Jacuizinho","4310876","-29.021999999990","-53.053699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.333","2.889","2.500","2.000","-","2.500","2.500","2.500","2.000","2.000","2.500","-","-","-","-","-","-","-","-","-","-"
"Jacutinga","4310900","-27.729099999990","-52.537199999990","1.200","2.400","2.636","2.300","1.200","-","2.000","1.026","626","1.200","1.200","900","500","600","359","2.000","1.400","-","1.400","1.400","1.400","1.400","1.100","1.400","1.800","1.429","1.486","1.783","913","1.783","800","400","2.000","2.000","2.000","-","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Jaguar�o","4311007","-32.560400000000","-53.377000000000","4.450","4.615","4.385","3.870","3.834","3.859","4.200","4.304","4.800","3.500","4.400","5.000","5.000","3.500","5.000","6.880","5.800","5.800","5.500","5.500","5.000","5.500","5.488","5.000","4.750","5.500","6.000","5.860","4.900","5.100","5.650","5.750","6.100","7.100","6.750","7.021","7.144","8.045","7.510","7.650","7.600","8.600","7.600","8.166","8.166","8.104","8.905","9.268"
"Jaguari","4311106","-29.493600000000","-54.703000000000","3.029","3.860","3.539","3.499","3.500","3.309","3.511","4.500","5.500","3.289","4.500","4.500","3.300","4.392","4.178","4.933","4.114","4.088","4.655","4.574","3.940","4.673","4.800","4.915","4.671","5.900","5.490","5.098","5.457","3.805","6.016","6.240","7.000","7.000","7.000","6.500","5.600","7.800","7.200","7.400","7.535","7.850","7.300","8.300","8.740","7.380","9.030","9.210"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","563","625","600","625","800","800","800","500","750","500","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jari","4311130","-29.292200000000","-54.223700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.614","2.757","1.825","1.800","1.514","1.240","1.325","1.000","500","1.500","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J�ia","4311155","-28.643500000000","-54.114100000000","-","-","-","-","-","-","-","-","-","1.640","2.097","2.210","2.130","2.261","1.896","2.167","3.038","253","1.894","1.500","2.000","2.000","1.700","2.000","2.000","2.000","1.000","2.000","2.000","2.200","2.200","-","1.800","2.200","2.200","2.200","2.200","2.200","2.200","-","-","-","-","-","-","-","1.000","1.000"
"J�lio de Castilhos","4311205","-29.229800000000","-53.677199999990","1.200","2.400","2.400","2.400","2.400","1.920","2.400","1.402","1.278","1.218","2.444","1.989","1.377","2.250","1.875","2.716","2.423","1.143","2.613","2.612","2.728","3.093","2.950","2.650","1.757","3.000","2.800","2.933","2.583","3.700","1.500","1.500","2.000","2.000","2.000","2.700","2.700","2.000","-","-","-","-","-","-","-","-","-","-"
"Lagoa Bonita do Sul","4311239","-29.488199999990","-53.013800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","1.800","1.800","667","1.667","1.667","1.667","1.667","-","-","-","-","-","-","-","-","-","-","-","-"
"Lagoa dos Tr�s Cantos","4311270","-28.567599999990","-52.861800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.813","2.000","2.000","1.667","600","1.500","1.600","1.600","1.600","1.600","2.000","1.800","-","1.600","1.600","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","900","2.138","1.800","1.800","400","100","1.000","1.100","1.079","1.600","1.600","1.700","800","1.250","1.440","1.500","1.500","224","1.500","2.152","2.200","2.200","730","2.201","2.201","1.598","1.600","2.400","2.400","2.400","2.400","2.400","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lago�o","4311254","-29.234800000000","-52.799700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","120","1.400","1.400","1.400","2.400","1.000","2.100","2.100","2.109","2.109","2.200","2.200","2.509","1.000","-","2.500","2.500","2.500","2.500","2.467","3.000","2.000","2.000","-","-","-","-","-","-","-","-"
"Lajeado","4311403","-29.459099999990","-51.964399999990","1.200","1.200","2.111","1.200","1.200","1.100","1.500","1.161","700","1.100","1.500","1.800","1.000","1.230","1.500","1.406","1.385","416","1.380","1.500","1.500","1.500","1.500","450","1.200","1.200","1.200","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lajeado do Bugre","4311429","-27.691299999990","-53.181800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","1.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.800","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Lavras do Sul","4311502","-30.807099999990","-53.893099999990","4.135","4.459","4.459","5.022","3.500","2.692","4.200","4.402","5.029","3.011","4.475","4.284","2.500","3.500","4.500","4.750","4.500","3.600","5.000","5.000","3.800","4.800","4.947","4.690","4.690","4.690","4.690","4.690","4.690","4.690","5.680","6.719","5.540","6.000","6.050","6.120","6.120","6.073","5.400","7.756","6.700","6.700","6.968","8.500","8.000","7.500","7.500","8.500"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","1.200","1.812","1.900","1.299","600","200","1.200","1.200","400","1.200","1.200","1.200","1.000","600","475","1.200","1.200","100","900","1.100","1.100","1.100","1.000","1.200","1.100","1.100","1.100","1.100","1.100","1.100","1.100","1.200","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Lindolfo Collor","4311627","-29.585899999990","-51.214100000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.875","2.875","2.875","1.750","1.400","1.400","2.400","2.400","2.400","2.400","2.800","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Linha Nova","4311643","-29.467900000000","-51.200299999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.538","1.538","2.000","1.500","1.000","1.000","1.625","1.500","1.500","1.500","1.500","1.250","250","1.500","1.500","1.600","1.600","1.600","1.600","1.000","1.200","1.200","1.200","1.200","1.200","1.200","1.600","1.333","1.333"
